Lake Conroe,,,https://waterdatafortexas.org/reservoirs/individual/conroe/rating-curve/twdb/2010-08-01
161.3,2332.79,12612.47,
161.4,2356.59,12846.92,
161.5,2379.04,13083.73,
161.6,2401.66,13322.78,
161.7,2424.13,13564.07,
161.8,2445.40,13807.56,
161.9,2466.98,14053.16,
162,2489.12,14300.97,
162.1,2512.25,14551.04,
162.2,2535.60,14803.42,
162.3,2558.21,15058.13,
162.4,2582.67,15315.12,
162.5,2609.97,15574.74,
162.6,2636.43,15837.08,
162.7,2664.85,16102.13,
162.8,2692.09,16370.00,
162.9,2718.99,16640.54,
163,2746.24,16913.79,
163.1,2775.86,17189.89,
163.2,2807.38,17469.05,
163.3,2837.69,17751.32,
163.4,2866.01,18036.48,
163.5,2894.75,18324.51,
163.6,2924.20,18615.49,
163.7,2952.91,18909.32,
163.8,2983.54,19206.13,
163.9,3015.59,19506.05,
164,3054.93,19809.52,
164.1,3094.84,20117.05,
164.2,3135.31,20428.54,
164.3,3172.19,20743.96,
164.4,3207.67,21062.94,
164.5,3242.57,21385.46,
164.6,3276.01,21711.41,
164.7,3308.38,22040.62,
164.8,3340.43,22373.07,
164.9,3371.25,22708.62,
165,3401.49,23047.30,
165.1,3431.42,23388.97,
165.2,3462.21,23733.60,
165.3,3492.20,24081.33,
165.4,3524.49,24432.13,
165.5,3560.54,24786.36,
165.6,3596.21,25144.26,
165.7,3627.59,25505.43,
165.8,3660.03,25869.82,
165.9,3692.59,26237.41,
166,3729.38,26608.47,
166.1,3771.15,26983.51,
166.2,3813.33,27362.73,
166.3,3855.06,27746.17,
166.4,3893.84,28133.61,
166.5,3931.35,28524.89,
166.6,3967.78,28919.88,
166.7,3999.55,29318.23,
166.8,4030.17,29719.74,
166.9,4062.03,30124.29,
167,4094.96,30532.17,
167.1,4125.78,30943.27,
167.2,4154.06,31357.22,
167.3,4182.68,31774.09,
167.4,4211.84,32193.77,
167.5,4240.43,32616.40,
167.6,4268.51,33041.89,
167.7,4296.75,33470.11,
167.8,4325.87,33901.26,
167.9,4353.14,34335.19,
168,4380.68,34771.88,
168.1,4408.45,35211.38,
168.2,4435.95,35653.54,
168.3,4465.59,36098.63,
168.4,4497.21,36546.72,
168.5,4528.14,36998.04,
168.6,4558.58,37452.41,
168.7,4592.65,37909.95,
168.8,4625.50,38370.88,
168.9,4658.94,38835.04,
169,4692.12,39302.63,
169.1,4725.47,39773.54,
169.2,4761.74,40247.82,
169.3,4797.54,40725.83,
169.4,4833.40,41207.33,
169.5,4870.61,41692.57,
169.6,4907.85,42181.54,
169.7,4941.22,42673.94,
169.8,4974.03,43169.74,
169.9,5008.95,43668.82,
170,5044.87,44171.55,
170.1,5082.00,44677.90,
170.2,5121.83,45188.04,
170.3,5162.87,45702.30,
170.4,5203.26,46220.58,
170.5,5239.42,46742.79,
170.6,5275.40,47268.63,
170.7,5312.69,47797.90,
170.8,5349.53,48331.09,
170.9,5384.07,48867.72,
171,5418.84,49407.90,
171.1,5454.24,49951.61,
171.2,5489.81,50498.78,
171.3,5523.49,51049.47,
171.4,5556.88,51603.44,
171.5,5589.48,52160.81,
171.6,5620.64,52721.37,
171.7,5651.81,53284.92,
171.8,5685.28,53851.82,
171.9,5718.11,54421.95,
172,5750.13,54995.41,
172.1,5782.43,55572.07,
172.2,5816.04,56151.93,
172.3,5851.63,56735.33,
172.4,5886.96,57322.23,
172.5,5921.92,57912.72,
172.6,5956.59,58506.67,
172.7,5996.88,59104.26,
172.8,6035.97,59705.97,
172.9,6072.17,60311.32,
173,6110.19,60920.47,
173.1,6149.70,61533.47,
173.2,6188.74,62150.36,
173.3,6227.60,62771.19,
173.4,6265.53,63395.83,
173.5,6302.37,64024.25,
173.6,6339.17,64656.38,
173.7,6375.07,65292.04,
173.8,6410.16,65931.35,
173.9,6445.20,66574.06,
174,6481.62,67220.44,
174.1,6517.27,67870.43,
174.2,6551.59,68523.82,
174.3,6586.32,69180.75,
174.4,6622.11,69841.09,
174.5,6660.43,70505.27,
174.6,6699.22,71173.28,
174.7,6738.09,71845.10,
174.8,6778.97,72520.97,
174.9,6824.55,73201.05,
175,6873.00,73885.93,
175.1,6924.70,74575.84,
175.2,6976.52,75270.86,
175.3,7029.53,75971.18,
175.4,7083.39,76676.75,
175.5,7141.58,77388.02,
175.6,7196.29,78105.01,
175.7,7248.74,78827.20,
175.8,7297.25,79554.56,
175.9,7354.50,80286.95,
176,7423.59,81025.80,
176.1,7490.38,81771.58,
176.2,7556.04,82523.86,
176.3,7619.00,83282.66,
176.4,7682.15,84047.67,
176.5,7749.10,84819.20,
176.6,7809.81,85597.27,
176.7,7867.04,86381.04,
176.8,7921.98,87170.53,
176.9,7975.88,87965.41,
177,8026.33,88765.57,
177.1,8074.73,89570.69,
177.2,8122.97,90380.51,
177.3,8170.41,91195.23,
177.4,8218.17,92014.57,
177.5,8268.68,92838.98,
177.6,8316.30,93668.30,
177.7,8364.58,94502.26,
177.8,8413.85,95341.23,
177.9,8459.56,96184.84,
178,8503.52,97033.06,
178.1,8547.38,97885.67,
178.2,8591.89,98742.53,
178.3,8639.07,99604.15,
178.4,8685.45,100470.29,
178.5,8732.89,101341.29,
178.6,8779.68,102216.97,
178.7,8825.72,103097.17,
178.8,8871.68,103982.06,
178.9,8921.04,104871.63,
179,8969.00,105766.16,
179.1,9016.89,106665.53,
179.2,9065.43,107569.55,
179.3,9112.70,108478.51,
179.4,9159.22,109392.06,
179.5,9202.31,110310.19,
179.6,9245.71,111232.66,
179.7,9288.57,112159.29,
179.8,9328.46,113090.20,
179.9,9368.35,114024.94,
180,9408.83,114963.83,
180.1,9451.46,115906.89,
180.2,9494.60,116854.10,
180.3,9538.88,117805.83,
180.4,9583.34,118761.86,
180.5,9625.27,119722.36,
180.6,9667.19,120687.04,
180.7,9709.85,121655.83,
180.8,9750.11,122628.87,
180.9,9791.34,123605.84,
181,9833.82,124587.17,
181.1,9875.67,125572.69,
181.2,9919.58,126562.34,
181.3,9965.07,127556.62,
181.4,10010.18,128555.28,
181.5,10056.69,129558.67,
181.6,10101.85,130566.69,
181.7,10144.60,131578.93,
181.8,10187.08,132595.56,
181.9,10229.87,133616.34,
182,10269.33,134641.38,
182.1,10308.63,135670.34,
182.2,10345.49,136702.95,
182.3,10381.92,137739.39,
182.4,10417.85,138779.29,
182.5,10453.04,139822.91,
182.6,10488.34,140870.02,
182.7,10524.59,141920.58,
182.8,10561.88,142974.98,
182.9,10597.88,144032.86,
183,10633.49,145094.49,
183.1,10668.48,146159.65,
183.2,10702.72,147228.13,
183.3,10736.16,148300.13,
183.4,10770.07,149375.34,
183.5,10805.35,150454.17,
183.6,10841.47,151536.57,
183.7,10876.64,152622.38,
183.8,10912.76,153711.91,
183.9,10950.96,154805.00,
184,10991.79,155902.19,
184.1,11032.75,157003.46,
184.2,11077.17,158108.82,
184.3,11121.43,159218.84,
184.4,11167.70,160333.15,
184.5,11214.41,161452.29,
184.6,11259.67,162576.07,
184.7,11303.27,163704.14,
184.8,11342.87,164836.52,
184.9,11382.44,165972.68,
185,11424.08,167113.05,
185.1,11466.09,168257.62,
185.2,11508.59,169406.26,
185.3,11551.44,170559.34,
185.4,11592.23,171716.42,
185.5,11635.50,172877.85,
185.6,11680.24,174043.66,
185.7,11729.72,175213.99,
185.8,11778.95,176389.54,
185.9,11825.72,177569.69,
186,11874.37,178754.79,
186.1,11922.37,179944.69,
186.2,11968.83,181139.16,
186.3,12014.59,182338.39,
186.4,12062.49,183542.14,
186.5,12111.08,184750.95,
186.6,12158.52,185964.48,
186.7,12206.75,187182.59,
186.8,12255.83,188405.82,
186.9,12303.16,189633.69,
187,12349.29,190866.41,
187.1,12394.73,192103.68,
187.2,12442.15,193345.41,
187.3,12490.89,194592.14,
187.4,12541.17,195843.60,
187.5,12591.24,197100.30,
187.6,12639.34,198361.92,
187.7,12686.67,199628.09,
187.8,12734.67,200899.26,
187.9,12781.65,202174.95,
188,12830.19,203455.61,
188.1,12877.38,204741.07,
188.2,12924.19,206031.01,
188.3,12970.49,207325.87,
188.4,13015.84,208625.10,
188.5,13059.86,209928.93,
188.6,13105.25,211237.26,
188.7,13149.29,212549.89,
188.8,13192.09,213867.08,
188.9,13234.13,215188.24,
189,13275.81,216513.85,
189.1,13317.25,217843.59,
189.2,13358.05,219177.23,
189.3,13397.63,220515.09,
189.4,13437.50,221856.72,
189.5,13477.18,223202.54,
189.6,13516.62,224552.29,
189.7,13556.37,225905.82,
189.8,13596.13,227263.54,
189.9,13636.73,228625.04,
190,13677.90,229990.85,
190.1,13719.89,231360.81,
190.2,13762.06,232734.77,
190.3,13805.34,234113.25,
190.4,13848.60,235495.79,
190.5,13892.89,236882.94,
190.6,13936.97,238274.53,
190.7,13981.25,239670.30,
190.8,14028.38,241070.80,
190.9,14076.81,242475.91,
191,14125.79,243886.19,
191.1,14172.73,245301.20,
191.2,14220.31,246720.72,
191.3,14267.92,248145.20,
191.4,14316.32,249574.26,
191.5,14364.37,251008.40,
191.6,14414.67,252447.43,
191.7,14465.53,253891.33,
191.8,14513.69,255340.39,
191.9,14563.55,256794.07,
192,14614.87,258253.08,
192.1,14666.18,259717.22,
192.2,14718.38,261186.32,
192.3,14771.90,262660.89,
192.4,14825.22,264140.61,
192.5,14882.69,265626.05,
192.6,14936.24,267117.12,
192.7,14986.38,268613.14,
192.8,15034.12,270114.27,
192.9,15083.32,271620.00,
193,15132.82,273130.91,
193.1,15182.36,274646.74,
193.2,15234.44,276167.42,
193.3,15287.60,277693.64,
193.4,15342.57,279224.98,
193.5,15400.15,280762.18,
193.6,15457.13,282305.21,
193.7,15510.77,283853.46,
193.8,15564.87,285407.32,
193.9,15618.73,286966.36,
194,15673.84,288531.09,
194.1,15728.43,290101.29,
194.2,15785.08,291676.81,
194.3,15843.32,293258.32,
194.4,15903.65,294845.50,
194.5,15967.68,296439.18,
194.6,16027.20,298039.13,
194.7,16084.04,299644.52,
194.8,16142.37,301256.00,
194.9,16198.56,302872.89,
195,16256.28,304495.80,
195.1,16311.23,306124.26,
195.2,16367.25,307758.00,
195.3,16425.21,309397.74,
195.4,16483.60,311043.03,
195.5,16541.96,312694.43,
195.6,16599.30,314351.59,
195.7,16658.15,316014.35,
195.8,16714.57,317683.07,
195.9,16770.48,319357.13,
196,16825.62,321037.09,
196.1,16879.01,322722.42,
196.2,16930.08,324412.74,
196.3,16980.25,326108.36,
196.4,17027.32,327808.61,
196.5,17073.14,329513.73,
196.6,17120.35,331223.50,
196.7,17168.66,332937.78,
196.8,17218.40,334657.23,
196.9,17271.25,336381.53,
197,17320.17,338111.24,
197.1,17367.12,339845.71,
197.2,17411.88,341584.51,
197.3,17456.32,343328.04,
197.4,17499.29,345075.66,
197.5,17541.99,346827.84,
197.6,17584.68,348584.27,
197.7,17628.17,350344.74,
197.8,17672.32,352109.85,
197.9,17716.32,353879.14,
198,17760.01,355653.07,
198.1,17804.31,357431.38,
198.2,17848.41,359213.84,
198.3,17892.59,361001.00,
198.4,17937.23,362792.32,
198.5,17982.02,364588.38,
198.6,18026.18,366388.92,
198.7,18070.19,368193.56,
198.8,18114.57,370002.89,
198.9,18159.58,371816.42,
199,18205.10,373634.77,
199.1,18251.15,375457.69,
199.2,18297.76,377284.97,
199.3,18344.96,379117.22,
199.4,18392.71,380953.93,
199.5,18441.02,382795.72,
199.6,18489.87,384642.37,
199.7,18539.20,386493.64,
199.8,18589.07,388350.17,
199.9,18639.50,390211.42,
200,18690.27,392078.03,
200.1,18741.05,393949.70,
200.2,18791.81,395826.17,
200.3,18842.55,397708.01,
200.4,18893.27,399594.61,
200.5,18943.97,401486.61,
200.6,18994.66,403383.64,
200.7,19045.32,405285.47,
200.8,19095.96,407192.66,
200.9,19146.59,409104.60,
201,19639.65,411021.89,
201.10 *,- n.a. -,412944.15,
201.20 *,- n.a. -,414871.49,
201.30 *,- n.a. -,416803.89,
201.40 *,- n.a. -,418741.37,
201.50 *,- n.a. -,420683.91,
201.60 *,- n.a. -,422631.53,
201.70 *,- n.a. -,424584.21,
201.80 *,- n.a. -,426541.96,
201.90 *,- n.a. -,428504.79,
202.00 *,- n.a. -,430472.68,
202.10 *,- n.a. -,432445.64,
202.20 *,- n.a. -,434423.67,
202.30 *,- n.a. -,436406.77,
202.40 *,- n.a. -,438394.94,
202.50 *,- n.a. -,440388.18,
202.60 *,- n.a. -,442386.49,
202.70 *,- n.a. -,444389.86,
202.80 *,- n.a. -,446398.31,
202.90 *,- n.a. -,448411.83,
203.00 *,- n.a. -,450430.42,
203.10 *,- n.a. -,452454.07,
203.20 *,- n.a. -,454482.80,
203.30 *,- n.a. -,456516.59,
203.40 *,- n.a. -,458555.46,
203.50 *,- n.a. -,460599.39,
203.60 *,- n.a. -,462648.39,
203.70 *,- n.a. -,464702.47,
203.80 *,- n.a. -,466761.61,
203.90 *,- n.a. -,468825.82,
204.00 *,- n.a. -,470895.10,
204.10 *,- n.a. -,472969.46,
204.20 *,- n.a. -,475048.88,
