#All parameters measured in inches,,,"712 = Livingston & Conroe, 812 = Houston",,
,,,712,,812
2/6/11,28,1.99,0.071,1.48,0.053
2/7/11,28,1.99,0.071,1.48,0.053
2/8/11,28,1.99,0.071,1.48,0.053
2/9/11,28,1.99,0.071,1.48,0.053
2/10/11,28,1.99,0.071,1.48,0.053
2/11/11,28,1.99,0.071,1.48,0.053
2/12/11,28,1.99,0.071,1.48,0.053
2/13/11,28,1.99,0.071,1.48,0.053
2/14/11,28,1.99,0.071,1.48,0.053
2/15/11,28,1.99,0.071,1.48,0.053
2/16/11,28,1.99,0.071,1.48,0.053
2/17/11,28,1.99,0.071,1.48,0.053
2/18/11,28,1.99,0.071,1.48,0.053
2/19/11,28,1.99,0.071,1.48,0.053
2/20/11,28,1.99,0.071,1.48,0.053
2/21/11,28,1.99,0.071,1.48,0.053
2/22/11,28,1.99,0.071,1.48,0.053
2/23/11,28,1.99,0.071,1.48,0.053
2/24/11,28,1.99,0.071,1.48,0.053
2/25/11,28,1.99,0.071,1.48,0.053
2/26/11,28,1.99,0.071,1.48,0.053
2/27/11,28,1.99,0.071,1.48,0.053
2/28/11,28,1.99,0.071,1.48,0.053
3/1/11,31,3.4,0.11,3.22,0.104
3/2/11,31,3.4,0.11,3.22,0.104
3/3/11,31,3.4,0.11,3.22,0.104
3/4/11,31,3.4,0.11,3.22,0.104
3/5/11,31,3.4,0.11,3.22,0.104
3/6/11,31,3.4,0.11,3.22,0.104
3/7/11,31,3.4,0.11,3.22,0.104
3/8/11,31,3.4,0.11,3.22,0.104
3/9/11,31,3.4,0.11,3.22,0.104
3/10/11,31,3.4,0.11,3.22,0.104
3/11/11,31,3.4,0.11,3.22,0.104
3/12/11,31,3.4,0.11,3.22,0.104
3/13/11,31,3.4,0.11,3.22,0.104
3/14/11,31,3.4,0.11,3.22,0.104
3/15/11,31,3.4,0.11,3.22,0.104
3/16/11,31,3.4,0.11,3.22,0.104
3/17/11,31,3.4,0.11,3.22,0.104
3/18/11,31,3.4,0.11,3.22,0.104
3/19/11,31,3.4,0.11,3.22,0.104
3/20/11,31,3.4,0.11,3.22,0.104
3/21/11,31,3.4,0.11,3.22,0.104
3/22/11,31,3.4,0.11,3.22,0.104
3/23/11,31,3.4,0.11,3.22,0.104
3/24/11,31,3.4,0.11,3.22,0.104
3/25/11,31,3.4,0.11,3.22,0.104
3/26/11,31,3.4,0.11,3.22,0.104
3/27/11,31,3.4,0.11,3.22,0.104
3/28/11,31,3.4,0.11,3.22,0.104
3/29/11,31,3.4,0.11,3.22,0.104
3/30/11,31,3.4,0.11,3.22,0.104
3/31/11,31,3.4,0.11,3.22,0.104
4/1/11,30,5.81,0.194,5.78,0.193
4/2/11,30,5.81,0.194,5.78,0.193
4/3/11,30,5.81,0.194,5.78,0.193
4/4/11,30,5.81,0.194,5.78,0.193
4/5/11,30,5.81,0.194,5.78,0.193
4/6/11,30,5.81,0.194,5.78,0.193
4/7/11,30,5.81,0.194,5.78,0.193
4/8/11,30,5.81,0.194,5.78,0.193
4/9/11,30,5.81,0.194,5.78,0.193
4/10/11,30,5.81,0.194,5.78,0.193
4/11/11,30,5.81,0.194,5.78,0.193
4/12/11,30,5.81,0.194,5.78,0.193
4/13/11,30,5.81,0.194,5.78,0.193
4/14/11,30,5.81,0.194,5.78,0.193
4/15/11,30,5.81,0.194,5.78,0.193
4/16/11,30,5.81,0.194,5.78,0.193
4/17/11,30,5.81,0.194,5.78,0.193
4/18/11,30,5.81,0.194,5.78,0.193
4/19/11,30,5.81,0.194,5.78,0.193
4/20/11,30,5.81,0.194,5.78,0.193
4/21/11,30,5.81,0.194,5.78,0.193
4/22/11,30,5.81,0.194,5.78,0.193
4/23/11,30,5.81,0.194,5.78,0.193
4/24/11,30,5.81,0.194,5.78,0.193
4/25/11,30,5.81,0.194,5.78,0.193
4/26/11,30,5.81,0.194,5.78,0.193
4/27/11,30,5.81,0.194,5.78,0.193
4/28/11,30,5.81,0.194,5.78,0.193
4/29/11,30,5.81,0.194,5.78,0.193
4/30/11,30,5.81,0.194,5.78,0.193
5/1/11,31,4.87,0.157,5.41,0.175
5/2/11,31,4.87,0.157,5.41,0.175
5/3/11,31,4.87,0.157,5.41,0.175
5/4/11,31,4.87,0.157,5.41,0.175
5/5/11,31,4.87,0.157,5.41,0.175
5/6/11,31,4.87,0.157,5.41,0.175
5/7/11,31,4.87,0.157,5.41,0.175
5/8/11,31,4.87,0.157,5.41,0.175
5/9/11,31,4.87,0.157,5.41,0.175
5/10/11,31,4.87,0.157,5.41,0.175
5/11/11,31,4.87,0.157,5.41,0.175
5/12/11,31,4.87,0.157,5.41,0.175
5/13/11,31,4.87,0.157,5.41,0.175
5/14/11,31,4.87,0.157,5.41,0.175
5/15/11,31,4.87,0.157,5.41,0.175
5/16/11,31,4.87,0.157,5.41,0.175
5/17/11,31,4.87,0.157,5.41,0.175
5/18/11,31,4.87,0.157,5.41,0.175
5/19/11,31,4.87,0.157,5.41,0.175
5/20/11,31,4.87,0.157,5.41,0.175
5/21/11,31,4.87,0.157,5.41,0.175
5/22/11,31,4.87,0.157,5.41,0.175
5/23/11,31,4.87,0.157,5.41,0.175
5/24/11,31,4.87,0.157,5.41,0.175
5/25/11,31,4.87,0.157,5.41,0.175
5/26/11,31,4.87,0.157,5.41,0.175
5/27/11,31,4.87,0.157,5.41,0.175
5/28/11,31,4.87,0.157,5.41,0.175
5/29/11,31,4.87,0.157,5.41,0.175
5/30/11,31,4.87,0.157,5.41,0.175
5/31/11,31,4.87,0.157,5.41,0.175
6/1/11,30,7.06,0.235,5.37,0.179
6/2/11,30,7.06,0.235,5.37,0.179
6/3/11,30,7.06,0.235,5.37,0.179
6/4/11,30,7.06,0.235,5.37,0.179
6/5/11,30,7.06,0.235,5.37,0.179
6/6/11,30,7.06,0.235,5.37,0.179
6/7/11,30,7.06,0.235,5.37,0.179
6/8/11,30,7.06,0.235,5.37,0.179
6/9/11,30,7.06,0.235,5.37,0.179
6/10/11,30,7.06,0.235,5.37,0.179
6/11/11,30,7.06,0.235,5.37,0.179
6/12/11,30,7.06,0.235,5.37,0.179
6/13/11,30,7.06,0.235,5.37,0.179
6/14/11,30,7.06,0.235,5.37,0.179
6/15/11,30,7.06,0.235,5.37,0.179
6/16/11,30,7.06,0.235,5.37,0.179
6/17/11,30,7.06,0.235,5.37,0.179
6/18/11,30,7.06,0.235,5.37,0.179
6/19/11,30,7.06,0.235,5.37,0.179
6/20/11,30,7.06,0.235,5.37,0.179
6/21/11,30,7.06,0.235,5.37,0.179
6/22/11,30,7.06,0.235,5.37,0.179
6/23/11,30,7.06,0.235,5.37,0.179
6/24/11,30,7.06,0.235,5.37,0.179
6/25/11,30,7.06,0.235,5.37,0.179
6/26/11,30,7.06,0.235,5.37,0.179
6/27/11,30,7.06,0.235,5.37,0.179
6/28/11,30,7.06,0.235,5.37,0.179
6/29/11,30,7.06,0.235,5.37,0.179
6/30/11,30,7.06,0.235,5.37,0.179
7/1/11,31,6.27,0.202,4.85,0.156
7/2/11,31,6.27,0.202,4.85,0.156
7/3/11,31,6.27,0.202,4.85,0.156
7/4/11,31,6.27,0.202,4.85,0.156
7/5/11,31,6.27,0.202,4.85,0.156
7/6/11,31,6.27,0.202,4.85,0.156
7/7/11,31,6.27,0.202,4.85,0.156
7/8/11,31,6.27,0.202,4.85,0.156
7/9/11,31,6.27,0.202,4.85,0.156
7/10/11,31,6.27,0.202,4.85,0.156
7/11/11,31,6.27,0.202,4.85,0.156
7/12/11,31,6.27,0.202,4.85,0.156
7/13/11,31,6.27,0.202,4.85,0.156
7/14/11,31,6.27,0.202,4.85,0.156
7/15/11,31,6.27,0.202,4.85,0.156
7/16/11,31,6.27,0.202,4.85,0.156
7/17/11,31,6.27,0.202,4.85,0.156
7/18/11,31,6.27,0.202,4.85,0.156
7/19/11,31,6.27,0.202,4.85,0.156
7/20/11,31,6.27,0.202,4.85,0.156
7/21/11,31,6.27,0.202,4.85,0.156
7/22/11,31,6.27,0.202,4.85,0.156
7/23/11,31,6.27,0.202,4.85,0.156
7/24/11,31,6.27,0.202,4.85,0.156
7/25/11,31,6.27,0.202,4.85,0.156
7/26/11,31,6.27,0.202,4.85,0.156
7/27/11,31,6.27,0.202,4.85,0.156
7/28/11,31,6.27,0.202,4.85,0.156
7/29/11,31,6.27,0.202,4.85,0.156
7/30/11,31,6.27,0.202,4.85,0.156
7/31/11,31,6.27,0.202,4.85,0.156
8/1/11,31,8.34,0.269,6.99,0.225
8/2/11,31,8.34,0.269,6.99,0.225
8/3/11,31,8.34,0.269,6.99,0.225
8/4/11,31,8.34,0.269,6.99,0.225
8/5/11,31,8.34,0.269,6.99,0.225
8/6/11,31,8.34,0.269,6.99,0.225
8/7/11,31,8.34,0.269,6.99,0.225
8/8/11,31,8.34,0.269,6.99,0.225
8/9/11,31,8.34,0.269,6.99,0.225
8/10/11,31,8.34,0.269,6.99,0.225
8/11/11,31,8.34,0.269,6.99,0.225
8/12/11,31,8.34,0.269,6.99,0.225
8/13/11,31,8.34,0.269,6.99,0.225
8/14/11,31,8.34,0.269,6.99,0.225
8/15/11,31,8.34,0.269,6.99,0.225
8/16/11,31,8.34,0.269,6.99,0.225
8/17/11,31,8.34,0.269,6.99,0.225
8/18/11,31,8.34,0.269,6.99,0.225
8/19/11,31,8.34,0.269,6.99,0.225
8/20/11,31,8.34,0.269,6.99,0.225
8/21/11,31,8.34,0.269,6.99,0.225
8/22/11,31,8.34,0.269,6.99,0.225
8/23/11,31,8.34,0.269,6.99,0.225
8/24/11,31,8.34,0.269,6.99,0.225
8/25/11,31,8.34,0.269,6.99,0.225
8/26/11,31,8.34,0.269,6.99,0.225
8/27/11,31,8.34,0.269,6.99,0.225
8/28/11,31,8.34,0.269,6.99,0.225
8/29/11,31,8.34,0.269,6.99,0.225
8/30/11,31,8.34,0.269,6.99,0.225
8/31/11,31,8.34,0.269,6.99,0.225
9/1/11,30,6.13,0.204,5.26,0.175
9/2/11,30,6.13,0.204,5.26,0.175
9/3/11,30,6.13,0.204,5.26,0.175
9/4/11,30,6.13,0.204,5.26,0.175
9/5/11,30,6.13,0.204,5.26,0.175
9/6/11,30,6.13,0.204,5.26,0.175
9/7/11,30,6.13,0.204,5.26,0.175
9/8/11,30,6.13,0.204,5.26,0.175
9/9/11,30,6.13,0.204,5.26,0.175
9/10/11,30,6.13,0.204,5.26,0.175
9/11/11,30,6.13,0.204,5.26,0.175
9/12/11,30,6.13,0.204,5.26,0.175
9/13/11,30,6.13,0.204,5.26,0.175
9/14/11,30,6.13,0.204,5.26,0.175
9/15/11,30,6.13,0.204,5.26,0.175
9/16/11,30,6.13,0.204,5.26,0.175
9/17/11,30,6.13,0.204,5.26,0.175
9/18/11,30,6.13,0.204,5.26,0.175
9/19/11,30,6.13,0.204,5.26,0.175
9/20/11,30,6.13,0.204,5.26,0.175
9/21/11,30,6.13,0.204,5.26,0.175
9/22/11,30,6.13,0.204,5.26,0.175
9/23/11,30,6.13,0.204,5.26,0.175
9/24/11,30,6.13,0.204,5.26,0.175
9/25/11,30,6.13,0.204,5.26,0.175
9/26/11,30,6.13,0.204,5.26,0.175
9/27/11,30,6.13,0.204,5.26,0.175
9/28/11,30,6.13,0.204,5.26,0.175
9/29/11,30,6.13,0.204,5.26,0.175
9/30/11,30,6.13,0.204,5.26,0.175
10/1/11,31,3.44,0.111,1.75,0.056
10/2/11,31,3.44,0.111,1.75,0.056
10/3/11,31,3.44,0.111,1.75,0.056
10/4/11,31,3.44,0.111,1.75,0.056
10/5/11,31,3.44,0.111,1.75,0.056
10/6/11,31,3.44,0.111,1.75,0.056
10/7/11,31,3.44,0.111,1.75,0.056
10/8/11,31,3.44,0.111,1.75,0.056
10/9/11,31,3.44,0.111,1.75,0.056
10/10/11,31,3.44,0.111,1.75,0.056
10/11/11,31,3.44,0.111,1.75,0.056
10/12/11,31,3.44,0.111,1.75,0.056
10/13/11,31,3.44,0.111,1.75,0.056
10/14/11,31,3.44,0.111,1.75,0.056
10/15/11,31,3.44,0.111,1.75,0.056
10/16/11,31,3.44,0.111,1.75,0.056
10/17/11,31,3.44,0.111,1.75,0.056
10/18/11,31,3.44,0.111,1.75,0.056
10/19/11,31,3.44,0.111,1.75,0.056
10/20/11,31,3.44,0.111,1.75,0.056
10/21/11,31,3.44,0.111,1.75,0.056
10/22/11,31,3.44,0.111,1.75,0.056
10/23/11,31,3.44,0.111,1.75,0.056
10/24/11,31,3.44,0.111,1.75,0.056
10/25/11,31,3.44,0.111,1.75,0.056
10/26/11,31,3.44,0.111,1.75,0.056
10/27/11,31,3.44,0.111,1.75,0.056
10/28/11,31,3.44,0.111,1.75,0.056
10/29/11,31,3.44,0.111,1.75,0.056
10/30/11,31,3.44,0.111,1.75,0.056
10/31/11,31,3.44,0.111,1.75,0.056
11/1/11,30,-0.72,-0.024,1.46,0.049
11/2/11,30,-0.72,-0.024,1.46,0.049
11/3/11,30,-0.72,-0.024,1.46,0.049
11/4/11,30,-0.72,-0.024,1.46,0.049
11/5/11,30,-0.72,-0.024,1.46,0.049
11/6/11,30,-0.72,-0.024,1.46,0.049
11/7/11,30,-0.72,-0.024,1.46,0.049
11/8/11,30,-0.72,-0.024,1.46,0.049
11/9/11,30,-0.72,-0.024,1.46,0.049
11/10/11,30,-0.72,-0.024,1.46,0.049
11/11/11,30,-0.72,-0.024,1.46,0.049
11/12/11,30,-0.72,-0.024,1.46,0.049
11/13/11,30,-0.72,-0.024,1.46,0.049
11/14/11,30,-0.72,-0.024,1.46,0.049
11/15/11,30,-0.72,-0.024,1.46,0.049
11/16/11,30,-0.72,-0.024,1.46,0.049
11/17/11,30,-0.72,-0.024,1.46,0.049
11/18/11,30,-0.72,-0.024,1.46,0.049
11/19/11,30,-0.72,-0.024,1.46,0.049
11/20/11,30,-0.72,-0.024,1.46,0.049
11/21/11,30,-0.72,-0.024,1.46,0.049
11/22/11,30,-0.72,-0.024,1.46,0.049
11/23/11,30,-0.72,-0.024,1.46,0.049
11/24/11,30,-0.72,-0.024,1.46,0.049
11/25/11,30,-0.72,-0.024,1.46,0.049
11/26/11,30,-0.72,-0.024,1.46,0.049
11/27/11,30,-0.72,-0.024,1.46,0.049
11/28/11,30,-0.72,-0.024,1.46,0.049
11/29/11,30,-0.72,-0.024,1.46,0.049
11/30/11,30,-0.72,-0.024,1.46,0.049
12/1/11,31,-2.35,-0.076,-1.9,-0.061
12/2/11,31,-2.35,-0.076,-1.9,-0.061
12/3/11,31,-2.35,-0.076,-1.9,-0.061
12/4/11,31,-2.35,-0.076,-1.9,-0.061
12/5/11,31,-2.35,-0.076,-1.9,-0.061
12/6/11,31,-2.35,-0.076,-1.9,-0.061
12/7/11,31,-2.35,-0.076,-1.9,-0.061
12/8/11,31,-2.35,-0.076,-1.9,-0.061
12/9/11,31,-2.35,-0.076,-1.9,-0.061
12/10/11,31,-2.35,-0.076,-1.9,-0.061
12/11/11,31,-2.35,-0.076,-1.9,-0.061
12/12/11,31,-2.35,-0.076,-1.9,-0.061
12/13/11,31,-2.35,-0.076,-1.9,-0.061
12/14/11,31,-2.35,-0.076,-1.9,-0.061
12/15/11,31,-2.35,-0.076,-1.9,-0.061
12/16/11,31,-2.35,-0.076,-1.9,-0.061
12/17/11,31,-2.35,-0.076,-1.9,-0.061
12/18/11,31,-2.35,-0.076,-1.9,-0.061
12/19/11,31,-2.35,-0.076,-1.9,-0.061
12/20/11,31,-2.35,-0.076,-1.9,-0.061
12/21/11,31,-2.35,-0.076,-1.9,-0.061
12/22/11,31,-2.35,-0.076,-1.9,-0.061
12/23/11,31,-2.35,-0.076,-1.9,-0.061
12/24/11,31,-2.35,-0.076,-1.9,-0.061
12/25/11,31,-2.35,-0.076,-1.9,-0.061
12/26/11,31,-2.35,-0.076,-1.9,-0.061
12/27/11,31,-2.35,-0.076,-1.9,-0.061
12/28/11,31,-2.35,-0.076,-1.9,-0.061
12/29/11,31,-2.35,-0.076,-1.9,-0.061
12/30/11,31,-2.35,-0.076,-1.9,-0.061
12/31/11,31,-2.35,-0.076,-1.9,-0.061
