# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-06-12 15:51:28 EDT       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 08067548 W Fk San Jacinto Rv nr Huntsville, TX",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 08067548,,,,
#            TS   parameter     statistic     Description,,,,
"#        173624       00060     00001     Discharge, cubic feet per second (Maximum)",,,,
"#        173625       00060     00002     Discharge, cubic feet per second (Minimum)",,,,
"#        173626       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,ft3/s,
agency_cd,site_no,datetime,173626_00060_00003,
USGS,8067548,10/19/09,3.25,
USGS,8067548,10/20/09,2.79,
USGS,8067548,10/21/09,1.96,
USGS,8067548,10/22/09,1.95,
USGS,8067548,10/23/09,4.22,
USGS,8067548,10/24/09,9.05,
USGS,8067548,10/25/09,3.94,
USGS,8067548,10/26/09,137.00,
USGS,8067548,10/27/09,1660.00,
USGS,8067548,10/28/09,506.00,
USGS,8067548,10/29/09,76.70,
USGS,8067548,10/30/09,329.00,
USGS,8067548,10/31/09,104.00,
USGS,8067548,11/1/09,21.70,
USGS,8067548,11/2/09,10.80,
USGS,8067548,11/3/09,6.15,
USGS,8067548,11/4/09,3.66,
USGS,8067548,11/5/09,2.49,
USGS,8067548,11/6/09,1.85,
USGS,8067548,11/7/09,1.60,
USGS,8067548,11/8/09,1.36,
USGS,8067548,11/9/09,1.20,
USGS,8067548,11/10/09,1.17,
USGS,8067548,11/11/09,1.25,
USGS,8067548,11/12/09,1.42,
USGS,8067548,11/13/09,1.31,
USGS,8067548,11/14/09,1.52,
USGS,8067548,11/15/09,1.65,
USGS,8067548,11/16/09,59.10,
USGS,8067548,11/17/09,213.00,
USGS,8067548,11/18/09,35.60,
USGS,8067548,11/19/09,12.60,
USGS,8067548,11/20/09,7.04,
USGS,8067548,11/21/09,5.71,
USGS,8067548,11/22/09,12.30,
USGS,8067548,11/23/09,14.40,
USGS,8067548,11/24/09,8.38,
USGS,8067548,11/25/09,4.64,
USGS,8067548,11/26/09,2.78,
USGS,8067548,11/27/09,1.79,
USGS,8067548,11/28/09,1.66,
USGS,8067548,11/29/09,1.52,
USGS,8067548,11/30/09,2.91,
USGS,8067548,12/1/09,24.50,
USGS,8067548,12/2/09,392.00,
USGS,8067548,12/3/09,461.00,
USGS,8067548,12/4/09,88.40,
USGS,8067548,12/5/09,25.00,
USGS,8067548,12/6/09,15.90,
USGS,8067548,12/7/09,13.70,
USGS,8067548,12/8/09,33.10,
USGS,8067548,12/9/09,39.30,
USGS,8067548,12/10/09,22.30,
USGS,8067548,12/11/09,12.50,
USGS,8067548,12/12/09,46.50,
USGS,8067548,12/13/09,80.60,
USGS,8067548,12/14/09,34.70,
USGS,8067548,12/15/09,58.20,
USGS,8067548,12/16/09,89.90,
USGS,8067548,12/17/09,35.10,
USGS,8067548,12/18/09,20.90,
USGS,8067548,12/19/09,14.70,
USGS,8067548,12/20/09,9.82,
USGS,8067548,12/21/09,7.10,
USGS,8067548,12/22/09,5.32,
USGS,8067548,12/23/09,6.44,
USGS,8067548,12/24/09,11100.00,
USGS,8067548,12/25/09,1260.00,
USGS,8067548,12/26/09,176.00,
USGS,8067548,12/27/09,51.20,
USGS,8067548,12/28/09,31.00,
USGS,8067548,12/29/09,23.10,
USGS,8067548,12/30/09,37.00,
USGS,8067548,12/31/09,144.00,
USGS,8067548,1/1/10,61.50,
USGS,8067548,1/2/10,31.10,
USGS,8067548,1/3/10,21.80,
USGS,8067548,1/4/10,17.40,
USGS,8067548,1/5/10,13.30,
USGS,8067548,1/6/10,11.40,
USGS,8067548,1/7/10,10.90,
USGS,8067548,1/8/10,11.20,
USGS,8067548,1/9/10,9.92,
USGS,8067548,1/10/10,8.62,
USGS,8067548,1/11/10,7.98,
USGS,8067548,1/12/10,7.79,
USGS,8067548,1/13/10,7.68,
USGS,8067548,1/14/10,7.41,
USGS,8067548,1/15/10,8.11,
USGS,8067548,1/16/10,76.90,
USGS,8067548,1/17/10,208.00,
USGS,8067548,1/18/10,61.00,
USGS,8067548,1/19/10,29.80,
USGS,8067548,1/20/10,21.20,
USGS,8067548,1/21/10,17.50,
USGS,8067548,1/22/10,15.20,
USGS,8067548,1/23/10,12.20,
USGS,8067548,1/24/10,10.30,
USGS,8067548,1/25/10,8.44,
USGS,8067548,1/26/10,7.43,
USGS,8067548,1/27/10,6.23,
USGS,8067548,1/28/10,6.06,
USGS,8067548,1/29/10,745.00,
USGS,8067548,1/30/10,643.00,
USGS,8067548,1/31/10,122.00,
USGS,8067548,2/1/10,40.30,
USGS,8067548,2/2/10,28.30,
USGS,8067548,2/3/10,22.90,
USGS,8067548,2/4/10,60.20,
USGS,8067548,2/5/10,283.00,
USGS,8067548,2/6/10,251.00,
USGS,8067548,2/7/10,60.30,
USGS,8067548,2/8/10,46.00,
USGS,8067548,2/9/10,506.00,
USGS,8067548,2/10/10,273.00,
USGS,8067548,2/11/10,71.60,
USGS,8067548,2/12/10,1070.00,
USGS,8067548,2/13/10,613.00,
USGS,8067548,2/14/10,131.00,
USGS,8067548,2/15/10,48.10,
USGS,8067548,2/16/10,29.80,
USGS,8067548,2/17/10,21.60,
USGS,8067548,2/18/10,17.50,
USGS,8067548,2/19/10,15.10,
USGS,8067548,2/20/10,13.60,
USGS,8067548,2/21/10,13.00,
USGS,8067548,2/22/10,13.80,
USGS,8067548,2/23/10,12.10,
USGS,8067548,2/24/10,14.90,
USGS,8067548,2/25/10,18.80,
USGS,8067548,2/26/10,15.40,
USGS,8067548,2/27/10,12.10,
USGS,8067548,2/28/10,9.92,
USGS,8067548,3/1/10,64.30,
USGS,8067548,3/2/10,210.00,
USGS,8067548,3/3/10,59.20,
USGS,8067548,3/4/10,27.10,
USGS,8067548,3/5/10,19.60,
USGS,8067548,3/6/10,15.90,
USGS,8067548,3/7/10,13.40,
USGS,8067548,3/8/10,12.50,
USGS,8067548,3/9/10,12.90,
USGS,8067548,3/10/10,12.80,
USGS,8067548,3/11/10,11.40,
USGS,8067548,3/12/10,9.83,
USGS,8067548,3/13/10,8.22,
USGS,8067548,3/14/10,7.37,
USGS,8067548,3/15/10,6.89,
USGS,8067548,3/16/10,6.45,
USGS,8067548,3/17/10,8.52,
USGS,8067548,3/18/10,11.70,
USGS,8067548,3/19/10,9.47,
USGS,8067548,3/20/10,9.08,
USGS,8067548,3/21/10,38.10,
USGS,8067548,3/22/10,26.40,
USGS,8067548,3/23/10,14.60,
USGS,8067548,3/24/10,9.55,
USGS,8067548,3/25/10,8.45,
USGS,8067548,3/26/10,12.10,
USGS,8067548,3/27/10,12.00,
USGS,8067548,3/28/10,8.08,
USGS,8067548,3/29/10,5.87,
USGS,8067548,3/30/10,4.75,
USGS,8067548,3/31/10,4.37,
USGS,8067548,4/1/10,4.12,
USGS,8067548,4/2/10,4.02,
USGS,8067548,4/3/10,3.64,
USGS,8067548,4/4/10,3.35,
USGS,8067548,4/5/10,3.31,
USGS,8067548,4/6/10,3.23,
USGS,8067548,4/7/10,3.08,
USGS,8067548,4/8/10,15.70,
USGS,8067548,4/9/10,11.80,
USGS,8067548,4/10/10,6.36,
USGS,8067548,4/11/10,4.07,
USGS,8067548,4/12/10,3.19,
USGS,8067548,4/13/10,2.90,
USGS,8067548,4/14/10,2.41,
USGS,8067548,4/15/10,2.23,
USGS,8067548,4/16/10,2.20,
USGS,8067548,4/17/10,2.10,
USGS,8067548,4/18/10,2.43,
USGS,8067548,4/19/10,4.14,
USGS,8067548,4/20/10,4.73,
USGS,8067548,4/21/10,3.52,
USGS,8067548,4/22/10,2.86,
USGS,8067548,4/23/10,3.04,
USGS,8067548,4/24/10,3.10,
USGS,8067548,4/25/10,3.44,
USGS,8067548,4/26/10,3.32,
USGS,8067548,4/27/10,3.24,
USGS,8067548,4/28/10,2.30,
USGS,8067548,4/29/10,2.53,
USGS,8067548,4/30/10,2.48,
USGS,8067548,5/1/10,2.38,
USGS,8067548,5/2/10,2.42,
USGS,8067548,5/3/10,2.47,
USGS,8067548,5/4/10,2.24,
USGS,8067548,5/5/10,2.36,
USGS,8067548,5/6/10,2.34,
USGS,8067548,5/7/10,2.29,
USGS,8067548,5/8/10,2.28,
USGS,8067548,5/9/10,2.47,
USGS,8067548,5/10/10,2.38,
USGS,8067548,5/11/10,2.09,
USGS,8067548,5/12/10,1.98,
USGS,8067548,5/13/10,1.73,
USGS,8067548,5/14/10,2.00,
USGS,8067548,5/15/10,3.35,
USGS,8067548,5/16/10,3.43,
USGS,8067548,5/17/10,3.53,
USGS,8067548,5/18/10,5.45,
USGS,8067548,5/19/10,3.47,
USGS,8067548,5/20/10,2.52,
USGS,8067548,5/21/10,2.19,
USGS,8067548,5/22/10,2.08,
USGS,8067548,5/23/10,1.84,
USGS,8067548,5/24/10,1.46,
USGS,8067548,5/25/10,1.41,
USGS,8067548,5/26/10,1.34,
USGS,8067548,5/27/10,1.37,
USGS,8067548,5/28/10,1.62,
USGS,8067548,5/29/10,1.74,
USGS,8067548,5/30/10,1.65,
USGS,8067548,5/31/10,1.59,
USGS,8067548,6/1/10,1.28,
USGS,8067548,6/2/10,0.99,
USGS,8067548,6/3/10,1.41,
USGS,8067548,6/4/10,1.08,
USGS,8067548,6/5/10,0.49,
USGS,8067548,6/6/10,0.39,
USGS,8067548,6/7/10,0.49,
USGS,8067548,6/8/10,0.64,
USGS,8067548,6/9/10,35.30,
USGS,8067548,6/10/10,69.60,
USGS,8067548,6/11/10,11.70,
USGS,8067548,6/12/10,2.56,
USGS,8067548,6/13/10,1.23,
USGS,8067548,6/14/10,0.80,
USGS,8067548,6/15/10,0.60,
USGS,8067548,6/16/10,0.49,
USGS,8067548,6/17/10,0.46,
USGS,8067548,6/18/10,0.41,
USGS,8067548,6/19/10,0.43,
USGS,8067548,6/20/10,0.42,
USGS,8067548,6/21/10,0.39,
USGS,8067548,6/22/10,0.37,
USGS,8067548,6/23/10,0.41,
USGS,8067548,6/24/10,26.00,
USGS,8067548,6/25/10,74.20,
USGS,8067548,6/26/10,4.30,
USGS,8067548,6/27/10,0.91,
USGS,8067548,6/28/10,0.46,
USGS,8067548,6/29/10,0.29,
USGS,8067548,6/30/10,0.22,
USGS,8067548,7/1/10,0.27,
USGS,8067548,7/2/10,11.70,
USGS,8067548,7/3/10,144.00,
USGS,8067548,7/4/10,62.90,
USGS,8067548,7/5/10,12.00,
USGS,8067548,7/6/10,2.45,
USGS,8067548,7/7/10,1.23,
USGS,8067548,7/8/10,0.84,
USGS,8067548,7/9/10,1.34,
USGS,8067548,7/10/10,1.15,
USGS,8067548,7/11/10,0.62,
USGS,8067548,7/12/10,0.47,
USGS,8067548,7/13/10,0.36,
USGS,8067548,7/14/10,0.32,
USGS,8067548,7/15/10,0.32,
USGS,8067548,7/16/10,0.33,
USGS,8067548,7/17/10,0.33,
USGS,8067548,7/18/10,0.34,
USGS,8067548,7/19/10,0.41,
USGS,8067548,7/20/10,3.05,
USGS,8067548,7/21/10,1.06,
USGS,8067548,7/22/10,0.49,
USGS,8067548,7/23/10,0.38,
USGS,8067548,7/24/10,0.35,
USGS,8067548,7/25/10,0.40,
USGS,8067548,7/26/10,0.41,
USGS,8067548,7/27/10,0.43,
USGS,8067548,7/28/10,0.46,
USGS,8067548,7/29/10,0.49,
USGS,8067548,7/30/10,0.49,
USGS,8067548,7/31/10,0.53,
USGS,8067548,8/1/10,0.46,
USGS,8067548,8/2/10,0.43,
USGS,8067548,8/3/10,0.43,
USGS,8067548,8/4/10,0.41,
USGS,8067548,8/5/10,0.44,
USGS,8067548,8/6/10,0.46,
USGS,8067548,8/7/10,0.45,
USGS,8067548,8/8/10,0.44,
USGS,8067548,8/9/10,0.43,
USGS,8067548,8/10/10,0.46,
USGS,8067548,8/11/10,0.48,
USGS,8067548,8/12/10,0.52,
USGS,8067548,8/13/10,0.55,
USGS,8067548,8/14/10,0.57,
USGS,8067548,8/15/10,0.65,
USGS,8067548,8/16/10,0.68,
USGS,8067548,8/17/10,1.02,
USGS,8067548,8/18/10,1.00,
USGS,8067548,8/19/10,0.87,
USGS,8067548,8/20/10,0.79,
USGS,8067548,8/21/10,0.67,
USGS,8067548,8/22/10,0.73,
USGS,8067548,8/23/10,0.77,
USGS,8067548,8/24/10,0.90,
USGS,8067548,8/25/10,0.98,
USGS,8067548,8/26/10,1.13,
USGS,8067548,8/27/10,0.89,
USGS,8067548,8/28/10,0.73,
USGS,8067548,8/29/10,0.89,
USGS,8067548,8/30/10,0.95,
USGS,8067548,8/31/10,0.96,
USGS,8067548,9/1/10,1.17,
USGS,8067548,9/2/10,1.30,
USGS,8067548,9/3/10,1.71,
USGS,8067548,9/4/10,3.09,
USGS,8067548,9/5/10,1.41,
USGS,8067548,9/6/10,1.15,
USGS,8067548,9/7/10,1.63,
USGS,8067548,9/8/10,2.28,
USGS,8067548,9/9/10,2.26,
USGS,8067548,9/10/10,2.14,
USGS,8067548,9/11/10,1.52,
USGS,8067548,9/12/10,2.10,
USGS,8067548,9/13/10,2.43,
USGS,8067548,9/14/10,1.95,
USGS,8067548,9/15/10,1.64,
USGS,8067548,9/16/10,1.69,
USGS,8067548,9/17/10,1.80,
USGS,8067548,9/18/10,1.76,
USGS,8067548,9/19/10,1.81,
USGS,8067548,9/20/10,1.85,
USGS,8067548,9/21/10,2.20,
USGS,8067548,9/22/10,2.19,
USGS,8067548,9/23/10,1.69,
USGS,8067548,9/24/10,1.40,
USGS,8067548,9/25/10,1.32,
USGS,8067548,9/26/10,2.17,
USGS,8067548,9/27/10,1.59,
USGS,8067548,9/28/10,1.03,
USGS,8067548,9/29/10,0.79,
USGS,8067548,9/30/10,0.78,
USGS,8067548,10/1/10,0.81,
USGS,8067548,10/2/10,0.80,
USGS,8067548,10/3/10,0.95,
USGS,8067548,10/4/10,1.00,
USGS,8067548,10/5/10,0.94,
USGS,8067548,10/6/10,0.99,
USGS,8067548,10/7/10,1.01,
USGS,8067548,10/8/10,1.05,
USGS,8067548,10/9/10,1.05,
USGS,8067548,10/10/10,0.76,
USGS,8067548,10/11/10,0.38,
USGS,8067548,10/12/10,0.17,
USGS,8067548,10/13/10,0.07,
USGS,8067548,10/14/10,0.03,
USGS,8067548,10/15/10,0.00,
USGS,8067548,10/16/10,0.00,
USGS,8067548,10/17/10,0.00,
USGS,8067548,10/18/10,0.00,
USGS,8067548,10/19/10,0.00,
USGS,8067548,10/20/10,0.18,
USGS,8067548,10/21/10,0.43,
USGS,8067548,10/22/10,0.48,
USGS,8067548,10/23/10,0.52,
USGS,8067548,10/24/10,0.58,
USGS,8067548,10/25/10,0.64,
USGS,8067548,10/26/10,0.72,
USGS,8067548,10/27/10,0.75,
USGS,8067548,10/28/10,0.69,
USGS,8067548,10/29/10,0.70,
USGS,8067548,10/30/10,0.71,
USGS,8067548,10/31/10,0.75,
USGS,8067548,11/1/10,0.81,
USGS,8067548,11/2/10,0.91,
USGS,8067548,11/3/10,0.93,
USGS,8067548,11/4/10,0.96,
USGS,8067548,11/5/10,0.86,
USGS,8067548,11/6/10,0.79,
USGS,8067548,11/7/10,0.81,
USGS,8067548,11/8/10,0.92,
USGS,8067548,11/9/10,0.91,
USGS,8067548,11/10/10,0.83,
USGS,8067548,11/11/10,0.85,
USGS,8067548,11/12/10,1.04,
USGS,8067548,11/13/10,1.34,
USGS,8067548,11/14/10,1.51,
USGS,8067548,11/15/10,1.73,
USGS,8067548,11/16/10,1.99,
USGS,8067548,11/17/10,1.90,
USGS,8067548,11/18/10,1.80,
USGS,8067548,11/19/10,1.88,
USGS,8067548,11/20/10,1.95,
USGS,8067548,11/21/10,2.06,
USGS,8067548,11/22/10,2.08,
USGS,8067548,11/23/10,1.87,
USGS,8067548,11/24/10,1.37,
USGS,8067548,11/25/10,1.34,
USGS,8067548,11/26/10,1.74,
USGS,8067548,11/27/10,1.64,
USGS,8067548,11/28/10,1.70,
USGS,8067548,11/29/10,1.76,
USGS,8067548,11/30/10,1.74,
USGS,8067548,12/1/10,1.64,
USGS,8067548,12/2/10,1.52,
USGS,8067548,12/3/10,1.46,
USGS,8067548,12/4/10,1.46,
USGS,8067548,12/5/10,1.39,
USGS,8067548,12/6/10,1.30,
USGS,8067548,12/7/10,1.26,
USGS,8067548,12/8/10,1.41,
USGS,8067548,12/9/10,1.47,
USGS,8067548,12/10/10,1.55,
USGS,8067548,12/11/10,1.53,
USGS,8067548,12/12/10,1.78,
USGS,8067548,12/13/10,1.53,
USGS,8067548,12/14/10,1.50,
USGS,8067548,12/15/10,1.58,
USGS,8067548,12/16/10,1.67,
USGS,8067548,12/17/10,1.58,
USGS,8067548,12/18/10,1.35,
USGS,8067548,12/19/10,1.20,
USGS,8067548,12/20/10,1.03,
USGS,8067548,12/21/10,0.82,
USGS,8067548,12/22/10,0.72,
USGS,8067548,12/23/10,0.69,
USGS,8067548,12/24/10,0.70,
USGS,8067548,12/25/10,0.83,
USGS,8067548,12/26/10,0.73,
USGS,8067548,12/27/10,0.66,
USGS,8067548,12/28/10,0.60,
USGS,8067548,12/29/10,0.57,
USGS,8067548,12/30/10,0.54,
USGS,8067548,12/31/10,0.50,
USGS,8067548,1/1/11,0.43,
USGS,8067548,1/2/11,0.35,
USGS,8067548,1/3/11,0.29,
USGS,8067548,1/4/11,0.26,
USGS,8067548,1/5/11,0.33,
USGS,8067548,1/6/11,0.28,
USGS,8067548,1/7/11,0.24,
USGS,8067548,1/8/11,0.20,
USGS,8067548,1/9/11,0.39,
USGS,8067548,1/10/11,0.23,
USGS,8067548,1/11/11,0.15,
USGS,8067548,1/12/11,0.13,
USGS,8067548,1/13/11,0.14,
USGS,8067548,1/14/11,0.15,
USGS,8067548,1/15/11,0.14,
USGS,8067548,1/16/11,0.15,
USGS,8067548,1/17/11,0.14,
USGS,8067548,1/18/11,0.13,
USGS,8067548,1/19/11,0.12,
USGS,8067548,1/20/11,0.11,
USGS,8067548,1/21/11,0.11,
USGS,8067548,1/22/11,0.10,
USGS,8067548,1/23/11,0.10,
USGS,8067548,1/24/11,0.09,
USGS,8067548,1/25/11,0.09,
USGS,8067548,1/26/11,0.07,
USGS,8067548,1/27/11,0.05,
USGS,8067548,1/28/11,0.04,
USGS,8067548,1/29/11,0.04,
USGS,8067548,1/30/11,0.03,
USGS,8067548,1/31/11,0.04,
USGS,8067548,2/1/11,0.05,
USGS,8067548,2/2/11,0.04,
USGS,8067548,2/3/11,0.03,
USGS,8067548,2/4/11,0.02,
USGS,8067548,2/5/11,0.02,
USGS,8067548,2/6/11,0.02,
USGS,8067548,2/7/11,0.01,
USGS,8067548,2/8/11,0.00,
USGS,8067548,2/9/11,0.00,
USGS,8067548,2/10/11,0.00,
USGS,8067548,2/11/11,0.00,
USGS,8067548,2/12/11,0.00,
USGS,8067548,2/13/11,0.00,
USGS,8067548,2/14/11,0.00,
USGS,8067548,2/15/11,0.00,
USGS,8067548,2/16/11,0.00,
USGS,8067548,2/17/11,0.00,
USGS,8067548,2/18/11,0.00,
USGS,8067548,2/19/11,0.00,
USGS,8067548,2/20/11,0.00,
USGS,8067548,2/21/11,0.00,
USGS,8067548,2/22/11,0.00,
USGS,8067548,2/23/11,0.00,
USGS,8067548,2/24/11,0.00,
USGS,8067548,2/25/11,0.00,
USGS,8067548,2/26/11,0.00,
USGS,8067548,2/27/11,0.00,
USGS,8067548,2/28/11,0.00,
USGS,8067548,3/1/11,0.00,
USGS,8067548,3/2/11,0.00,
USGS,8067548,3/3/11,0.00,
USGS,8067548,3/4/11,0.00,
USGS,8067548,3/5/11,0.00,
USGS,8067548,3/6/11,0.00,
USGS,8067548,3/7/11,0.00,
USGS,8067548,3/8/11,0.00,
USGS,8067548,3/9/11,0.00,
USGS,8067548,3/10/11,0.00,
USGS,8067548,3/11/11,0.00,
USGS,8067548,3/12/11,0.00,
USGS,8067548,3/13/11,0.00,
USGS,8067548,3/14/11,0.00,
USGS,8067548,3/15/11,0.00,
USGS,8067548,3/16/11,0.00,
USGS,8067548,3/17/11,0.00,
USGS,8067548,3/18/11,0.00,
USGS,8067548,3/19/11,0.00,
USGS,8067548,3/20/11,0.00,
USGS,8067548,3/21/11,0.00,
USGS,8067548,3/22/11,0.00,
USGS,8067548,3/23/11,0.00,
USGS,8067548,3/24/11,0.00,
USGS,8067548,3/25/11,0.00,
USGS,8067548,3/26/11,0.00,
USGS,8067548,3/27/11,0.00,
USGS,8067548,3/28/11,0.00,
USGS,8067548,3/29/11,0.00,
USGS,8067548,3/30/11,0.00,
USGS,8067548,3/31/11,0.00,
USGS,8067548,4/1/11,0.00,
USGS,8067548,4/2/11,0.00,
USGS,8067548,4/3/11,0.00,
USGS,8067548,4/4/11,0.00,
USGS,8067548,4/5/11,0.00,
USGS,8067548,4/6/11,0.00,
USGS,8067548,4/7/11,0.00,
USGS,8067548,4/8/11,0.00,
USGS,8067548,4/9/11,0.00,
USGS,8067548,4/10/11,0.00,
USGS,8067548,4/11/11,0.00,
USGS,8067548,4/12/11,0.00,
USGS,8067548,4/13/11,0.00,
USGS,8067548,4/14/11,0.00,
USGS,8067548,4/15/11,0.00,
USGS,8067548,4/16/11,0.00,
USGS,8067548,4/17/11,0.00,
USGS,8067548,4/18/11,0.00,
USGS,8067548,4/19/11,0.00,
USGS,8067548,4/20/11,0.00,
USGS,8067548,4/21/11,0.00,
USGS,8067548,4/22/11,0.00,
USGS,8067548,4/23/11,0.00,
USGS,8067548,4/24/11,0.00,
USGS,8067548,4/25/11,0.00,
USGS,8067548,4/26/11,0.00,
USGS,8067548,4/27/11,0.00,
USGS,8067548,4/28/11,0.00,
USGS,8067548,4/29/11,0.00,
USGS,8067548,4/30/11,0.00,
USGS,8067548,5/1/11,0.00,
USGS,8067548,5/2/11,0.00,
USGS,8067548,5/3/11,0.00,
USGS,8067548,5/4/11,0.00,
USGS,8067548,5/5/11,0.00,
USGS,8067548,5/6/11,0.00,
USGS,8067548,5/7/11,0.00,
USGS,8067548,5/8/11,0.00,
USGS,8067548,5/9/11,0.00,
USGS,8067548,5/10/11,0.00,
USGS,8067548,5/11/11,0.00,
USGS,8067548,5/12/11,0.00,
USGS,8067548,5/13/11,0.00,
USGS,8067548,5/14/11,0.00,
USGS,8067548,5/15/11,0.00,
USGS,8067548,5/16/11,0.00,
USGS,8067548,5/17/11,0.00,
USGS,8067548,5/18/11,0.00,
USGS,8067548,5/19/11,0.00,
USGS,8067548,5/20/11,0.00,
USGS,8067548,5/21/11,0.00,
USGS,8067548,5/22/11,0.00,
USGS,8067548,5/23/11,0.00,
USGS,8067548,5/24/11,0.00,
USGS,8067548,5/25/11,0.00,
USGS,8067548,5/26/11,0.00,
USGS,8067548,5/27/11,0.00,
USGS,8067548,5/28/11,0.00,
USGS,8067548,5/29/11,0.00,
USGS,8067548,5/30/11,0.00,
USGS,8067548,5/31/11,0.00,
USGS,8067548,6/1/11,0.00,
USGS,8067548,6/2/11,0.00,
USGS,8067548,6/3/11,0.00,
USGS,8067548,6/4/11,0.00,
USGS,8067548,6/5/11,0.00,
USGS,8067548,6/6/11,0.00,
USGS,8067548,6/7/11,0.00,
USGS,8067548,6/8/11,0.00,
USGS,8067548,6/9/11,0.00,
USGS,8067548,6/10/11,0.00,
USGS,8067548,6/11/11,0.00,
USGS,8067548,6/12/11,0.00,
USGS,8067548,6/13/11,0.00,
USGS,8067548,6/14/11,0.00,
USGS,8067548,6/15/11,0.00,
USGS,8067548,6/16/11,0.00,
USGS,8067548,6/17/11,0.00,
USGS,8067548,6/18/11,0.00,
USGS,8067548,6/19/11,0.00,
USGS,8067548,6/20/11,0.00,
USGS,8067548,6/21/11,0.00,
USGS,8067548,6/22/11,0.00,
USGS,8067548,6/23/11,0.00,
USGS,8067548,6/24/11,0.00,
USGS,8067548,6/25/11,0.00,
USGS,8067548,6/26/11,0.00,
USGS,8067548,6/27/11,0.00,
USGS,8067548,6/28/11,0.00,
USGS,8067548,6/29/11,0.00,
USGS,8067548,6/30/11,0.00,
USGS,8067548,7/1/11,0.00,
USGS,8067548,7/2/11,0.00,
USGS,8067548,7/3/11,0.00,
